dirname;slotids;npages
Mobile-UK-Specs-and-comparison-lan;1060649;6
Mobile-US-Specs-and-comparison-lan;1060650;9
Mobile-UK-Search-Partial-Prod-Name-lan;1060651;4
Mobile-US-Search-Partial-Prod-Name-lan;1060652;4
Mobile-UK-Landing-IPhone;1060724;1
Mobile-US-Landing-IPhone;1060726;1
Mobile-CN-Search-Partial-Prod-Name-lan;1138747;4
Mobile-CN-Landing;1138756;1
Mobile-CN-Specs-and-comparison-lan;1138758;9
Mobile-CN-Landing-page-Android;1325350;1
Mobile-UK-Landing-page-Android;1325360;1
Mobile-US-Landing-page-Android;1325365;1
Support-Asia;646812;2
Support-Europe;646813;2
Support-USA;646814;2
Support-South-America;646815;2
ECD-Asia;676924;6
ECD-Europe;676925;6
ECD-USA;676927;6
NetTV-IP-EPG-CL;822484;1
NetTV-BluePort-Service-Portal-CL;822485;2
ECD-South-America;896566;6
1DP-Asia;916009;1
1DP-Europe;916010;1
1DP-South-America;916011;1
1DP-USA;916088;1
KA;1074515;1
P4C;1074517;1
PCCPRD1;1074521;1
PCSPRD1;1074522;1
PLIPRD1;1074549;1
SecurUK;1074550;1
SMS;1074551;1
Channel-intelligence;1091956;1
Vovici-Survey;1091990;1
Vovici-Webservice;1091991;1
ATG-Channel-intelligence;1092893;1
MyPhilips-products-removal;1144397;2
Keynote-Business-40-ApP;508374;1
Philips-China-New-Support-Flow;774806;4
KA-UK-CL;861353;3
CBF-NL-RQ1280;1057789;7
CBF-DE-RQ1285;1057791;7
CBF-RU-RQ1295;1057792;7
CBF-US-RQ1290;1057805;5
Promotions-DE;1057806;3
Support-browsing-flow-CN;1057888;5
Support-browsing-flow-DE;1057889;5
Support-browsing-flow-US;1057893;5
CBF-CN-RQ1296;1058972;7
CBF-FR-RQ1250;1072527;7
CBF-BR-RQ1280;1072535;6
MyReAura;1074161;8
MyDashboard;1089735;6
CBF-UK-RQ1250;1096016;7
CBF-DE-SCF683;1097305;7
CBF-RU-SCF683;1097339;7
CBF-UK-SCF683;1098607;7
Shop-Browsing-Flow-NL-RQ1275;1098835;11
Shop-Browsing-Flow-FR-SC2002;1098839;11
CBF-CN-DCTG5752W;1100863;5
CBF-BR-CD4901B;1100864;7
CBF-DE-HD5405;1100865;7
CBF-FR-HD7740;1100869;7
CBF-FR-HD8764;1100877;7
CBF-CN-GC670;1100880;6
CBF-BR-RI9225;1100918;7
CBF-FR-HD6136;1100919;7
CBF-RU-HR1659;1100920;7
CBF-UK-HX9332;1100921;6
CBF-DE-HX6932;1100922;7
CBF-US-HX6932;1100923;5
CBF-CN-SCF683;1100924;5
CBF-DE-CD3951W;1101972;5
CBF-FR-S9H;1101973;7
CBF-DE-HD8930;1101974;5
CBF-DE-FC7070;1102012;6
CBF-FR-GC9222;1102130;7
CBF-CN-HD9220;1102131;5
CBF-RU-GC3320;1102132;7
CBF-US-RQ12;1102358;5
CBF-JP-TT2040;1102478;5
CBF-US-SCF683;1102487;5
CBF-IN-HL1646;1102494;7
CBF-FR-HP6522;1102516;7
CBF-IN-RQ1250;1105461;6
CBF-BR-SCF310;1105492;5
CBF-IN-SCF504;1105493;7
CBF-US-CSS2123;1105508;5
CBF-US-DS9800W;1105515;5
CBF-DE-DS9800W;1105516;7
CBF-BR-HP6576;1105529;7
CBF-CN-HP8650;1107366;7
CBF-CN-HX6921;1107367;6
CBF-CN-AC4076;1107368;4
CBF-US-BDP2985;1107834;5
Shop-Browsing-Flow-UK-RQ1275;1108573;11
Shop-Browsing-Flow-DE-RQ1250;1108574;11
CBF-DE-55PFL6007K;1111252;7
CBF-BR-40PFL6606;1112116;7
CBF-UK-55PFL6008S;1112117;7
CBF-RU-47PFL6097T;1112118;7
Shop-Browsing-Flow-US-RQ1250X;1119920;11
Lighting-B2B-Support;1122822;8
MyPhilips-DE;1129227;3
MyPhilips-CN;1129228;3
MyPhilips-US;1129673;3
CBF-KO-HX9332;1134496;6
CBF-KO-HD9220;1134497;7
Activelink-with-TxP;1138089;5
MyPhilips-FR;1138731;3
MyPhilips-UK;1138732;3
CBF-CL-LampsDirect-DE;1141990;4
CBF-PL-Product-US;1142136;6
CBF-PL-LED-US;1142137;2
CBF-PL-LED-DE;1142154;2
CBF-PL-Product-DE;1142161;6
CBF-CL-LumnsDirect-DE;1142162;4
CBF-CL-LumnsDirect-CN;1142164;4
CBF-CL-LampsDirect-CN;1142165;3
CBF-PL-Product-CN;1142168;6
CBF-PL-LED-CN;1142169;2
CBF-CL-LampsDirect-US;1142288;4
CBF-CL-LumnsDirect-US;1146628;4
Supply-World-Portal;1170865;6
CBF-HealthCare-CN;1205060;4
CBF-HealthCare-US;1205075;4
CBF-HealthCare-DE;1205090;4
MyPhilips-RU;1278665;3
Keynote-Business-40-TxP;1091870;1
