"","re","maxconc"
"1",1,297
"2",2,450
"3",3,450
"4",4,452
"5",5,450
"6",6,450
"7",7,450
"8",8,452
"9",9,450
"10",10,450
"11",11,450
"12",12,452
"13",13,450
"14",14,450
"15",15,450
"16",16,452
"17",17,450
"18",18,450
"19",19,450
"20",20,460
"21",21,450
"22",22,450
"23",23,450
"24",24,452
"25",25,450
"26",26,450
"27",27,450
"28",28,452
"29",29,450
"30",30,450
"31",31,450
"32",32,452
"33",33,450
"34",34,450
"35",35,450
"36",36,452
"37",37,450
"38",38,450
"39",39,450
"40",40,460
"41",41,450
"42",42,450
"43",43,450
"44",44,452
"45",45,450
"46",46,450
"47",47,450
"48",48,452
"49",49,450
"50",50,450
"51",51,450
"52",52,452
"53",53,450
"54",54,450
"55",55,450
"56",56,452
"57",57,450
"58",58,450
"59",59,450
"60",60,460
"61",61,450
"62",62,450
"63",63,450
"64",64,452
"65",65,450
"66",66,450
"67",67,450
"68",68,452
"69",69,450
"70",70,450
"71",71,450
"72",72,452
"73",73,450
"74",74,450
"75",75,450
"76",76,452
"77",77,450
"78",78,450
"79",79,450
"80",80,460
